ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13167-1,June,30x30/110x62,25100,8.0,3789.324,10.0,18.74540155,3079,27282.6087,27719.4675,3079.0,0,0,30,30,110,62
13167-1,June,30x30/110x62,25100,8.0,3816.664,10.0,17.57199481,3146,27282.6087,27719.4675,3146.0,0,0,30,30,110,62
13167-1,June,30x30/110x62,25100,8.0,3608.88,10.0,21.49919088,2556,27282.6087,27719.4675,2833.0,0,0,30,30,110,62
13167-1,June,30x30/110x62,25100,8.0,30309.124,10.0,25.53067519,TOTAL,27282.6087,27719.4675,22571.0,452,21991,30,30,110,62
13168-1,June,50x50/140x80,4450,8.1,2225.476,12.0,17.14132168,1844,4842.219804,5031.567762,1844.0,0,0,50,50,140,80
13168-1,June,50x50/140x80,4450,8.1,2187.2,12.0,17.01719093,1815,4842.219804,5031.567762,1815.0,0,0,50,50,140,80
13168-1,June,50x50/140x80,4450,8.1,1088.132,12.0,16.6461422,907,4842.219804,5031.567762,907.0,0,0,50,50,140,80
13168-1,June,50x50/140x80,4450,8.1,5500.808,12.0,16.99401252,TOTAL,4842.219804,5031.567762,4566.0,44,4803,50,50,140,80
13168-2,June,50x50/140x80,4450,8.1,2734.0,12.0,16.27651792,2289,4842.219804,5031.567762,2289.0,0,0,50,50,140,80
13168-2,June,50x50/140x80,4450,8.1,2816.02,12.0,17.25911038,2330,4842.219804,5031.567762,2330.0,0,0,50,50,140,80
13168-2,June,50x50/140x80,4450,8.1,5550.02,12.0,16.77507468,TOTAL,4842.219804,5031.567762,4619.0,42,4851,50,50,140,80
13168-3,June,50x50/140x80,4500,8.0,2405.92,8.0,14.04535479,2068,4891.304348,4861.590308,2068.0,0,0,50,50,140,80
13168-3,June,50x50/140x80,4500,8.0,503.056,8.0,15.31757896,426,4891.304348,4861.590308,426.0,0,0,50,50,140,80
13168-3,June,50x50/140x80,4500,8.0,2373.112,8.0,14.87970226,2020,4891.304348,4861.590308,2020.0,0,0,50,50,140,80
13168-3,June,50x50/140x80,4500,8.0,5282.088,8.0,14.54137076,TOTAL,4891.304348,4861.590308,4514.0,12,4802,50,50,140,80
13168-4,June,50x50/140x80,4600,8.0,2405.92,12.1,17.24579371,1991,5000.0,5201.428437,1991.0,0,0,50,50,140,80
13168-4,June,50x50/140x80,4600,8.0,2460.6,12.1,16.44314395,2056,5000.0,5201.428437,2056.0,0,0,50,50,140,80
13168-4,June,50x50/140x80,4600,8.0,842.072,12.1,19.72182901,676,5000.0,5201.428437,676.0,0,0,50,50,140,80
13168-4,June,50x50/140x80,4600,8.0,5708.592,12.1,17.26506291,TOTAL,5000.0,5201.428437,4723.0,52,4997,50,50,140,80
13168-5,June,50x50/140x80,4600,8.0,2734.0,12.1,16.82516459,2274,5000.0,5201.428437,2274.0,0,0,50,50,140,80
13168-5,June,50x50/140x80,4600,8.0,508.524,12.1,17.21138039,421,5000.0,5201.428437,421.0,0,0,50,50,140,80
13168-5,June,50x50/140x80,4600,8.0,2460.6,12.1,16.68698691,2050,5000.0,5201.428437,2050.0,0,0,50,50,140,80
13168-5,June,50x50/140x80,4600,8.0,5703.124,12.1,16.79998541,TOTAL,5000.0,5201.428437,4745.0,65,4970,50,50,140,80
13169-1,June,40x40/110x90,1100,8.0,1383.404,16.0,17.739142,1138,1195.652174,1301.568622,1138.0,0,0,40,40,110,90
13169-1,June,40x40/110x90,1100,8.0,1383.404,16.0,na,,1195.652174,1301.568622,,0,0,40,40,110,90
13169-1,June,40x40/110x90,1100,8.0,1383.404,16.0,17.739142,TOTAL,1195.652174,1301.568622,1138.0,10,1175,40,40,110,90
13169-2,June,40x40/110x90,1100,8.0,1399.808,16.0,13.91676573,1122,1195.652174,1301.568622,1205.0,0,0,40,40,110,90
13169-2,June,40x40/110x90,1100,8.0,1399.808,16.0,na,,1195.652174,1301.568622,,0,0,40,40,110,90
13169-2,June,40x40/110x90,1100,8.0,1399.808,16.0,13.91676573,TOTAL,1195.652174,1301.568622,1205.0,2,588,40,40,110,90
13169-3,June,40x40/110x90,1100,7.5,1367.0,16.4,17.84930505,1033,1189.189189,1300.727054,1123.0,0,0,40,40,110,90
13169-3,June,40x40/110x90,1100,7.5,1367.0,16.4,na,,1189.189189,1300.727054,,0,0,40,40,110,90
13169-3,June,40x40/110x90,1100,7.5,1367.0,16.4,17.84930505,TOTAL,1189.189189,1300.727054,1123.0,14,963,40,40,110,90
13169-4,June,40x40/110x90,1000,12.5,1334.192,15.7,14.92978522,1135,1142.857143,1239.66937,1135.0,0,0,40,40,110,90
13169-4,June,40x40/110x90,1000,12.5,1334.192,15.7,na,,1142.857143,1239.66937,,0,0,40,40,110,90
13169-4,June,40x40/110x90,1000,12.5,1334.192,15.7,14.92978522,TOTAL,1142.857143,1239.66937,1135.0,4,1137,40,40,110,90
13169-5,June,40x40/110x90,1000,12.5,1312.32,15.7,14.88356498,1117,1142.857143,1239.66937,1117.0,0,0,40,40,110,90
13169-5,June,40x40/110x90,1000,12.5,1312.32,15.7,na,,1142.857143,1239.66937,,0,0,40,40,110,90
13169-5,June,40x40/110x90,1000,12.5,1312.32,15.7,14.88356498,TOTAL,1142.857143,1239.66937,1117.0,17,1164,40,40,110,90
13169-6,June,40x40/130x90,1000,13.3,1367.0,15.7,18.72713972,1111,1153.402537,1251.108073,1111.0,0,0,40,40,130,90
13169-6,June,40x40/130x90,1000,13.3,1367.0,15.7,na,,1153.402537,1251.108073,,0,0,40,40,130,90
13169-6,June,40x40/130x90,1000,13.3,1367.0,15.7,18.72713972,TOTAL,1153.402537,1251.108073,1111.0,16,1150,40,40,130,90
13169-7,June,40x40/130x90,1100,8.3,1421.68,17.5,56.38962354,503,1199.563795,1329.569057,620.0,0,0,40,40,130,90
13169-7,June,40x40/130x90,1100,8.3,1421.68,17.5,na,,1199.563795,1329.569057,,0,0,40,40,130,90
13169-7,June,40x40/130x90,1100,8.3,1421.68,17.5,56.38962354,TOTAL,1199.563795,1329.569057,620.0,8,177,40,40,130,90
13169-8,June,40x40/130x90,1000,13.3,1362.6256,17.2,18.53961939,1098,1153.402537,1273.773074,1110.0,0,0,40,40,130,90
13169-8,June,40x40/130x90,1000,13.3,1362.6256,17.2,na,,1153.402537,1273.773074,,0,0,40,40,130,90
13169-8,June,40x40/130x90,1000,13.3,1362.6256,17.2,18.53961939,TOTAL,1153.402537,1273.773074,1110.0,17,876,40,40,130,90
13169-9,June,50x50/120x100,1000,13.0,1339.66,16.2,13.85874028,1154,1149.425287,1254.233011,1154.0,0,0,50,50,120,100
13169-9,June,50x50/120x100,1000,13.0,1339.66,16.2,na,,1149.425287,1254.233011,,0,0,50,50,120,100
13169-9,June,50x50/120x100,1000,13.0,1339.66,16.2,13.85874028,TOTAL,1149.425287,1254.233011,1154.0,15,920,50,50,120,100
13169-10,June,50x50/120x100,1100,8.5,1410.744,16.0,17.91565302,1158,1202.185792,1308.681019,1158.0,0,0,50,50,120,100
13169-10,June,50x50/120x100,1100,8.5,1410.744,16.0,na,,1202.185792,1308.681019,,0,0,50,50,120,100
13169-10,June,50x50/120x100,1100,8.5,1410.744,16.0,17.91565302,TOTAL,1202.185792,1308.681019,1158.0,0,1198,50,50,120,100
13169-11,June,60x60/160x90,1100,8.5,1364.8128,14.1,37.2807758,730,1202.185792,1279.73464,856.0,0,0,60,60,160,90
13169-11,June,60x60/160x90,1100,8.5,1364.8128,14.1,na,,1202.185792,1279.73464,,0,0,60,60,160,90
13169-11,June,60x60/160x90,1100,8.5,1364.8128,14.1,37.2807758,TOTAL,1202.185792,1279.73464,856.0,18,205,60,60,160,90
13169-12,June,50x50/140x80,1100,18.0,1323.256,20.6,15.8137201,1114,1341.463415,1544.898063,1114.0,0,0,50,50,140,80
13169-12,June,50x50/140x80,1100,18.0,1323.256,20.6,na,,1341.463415,1544.898063,,0,0,50,50,140,80
13169-12,June,50x50/140x80,1100,18.0,1323.256,20.6,15.8137201,TOTAL,1341.463415,1544.898063,1114.0,12,1147,50,50,140,80
13169-13,June,40x40/120x100,1100,9.5,1361.532,12.5,13.92049544,1133,1215.469613,1270.215919,1172.0,0,0,40,40,120,100
13169-13,June,40x40/120x100,1100,9.5,1361.532,12.5,na,,1215.469613,1270.215919,,0,0,40,40,120,100
13169-13,June,40x40/120x100,1100,9.5,1361.532,12.5,13.92049544,TOTAL,1215.469613,1270.215919,1172.0,64,1065,40,40,120,100
13171-1,June,40x40/100x70,1500,8.7,1804.44,10.5,14.32244907,1546,1642.935378,1678.56802,1546.0,0,0,40,40,100,70
