ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,12.92312296,2095,47180.85106,46894.23351,2095.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3105.824,8.0,42.04436568,1672,47180.85106,46894.23351,1800.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3018.336,8.0,14.02547629,2501,47180.85106,46894.23351,2595.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2952.72,8.0,11.77626053,2605,47180.85106,46894.23351,2605.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3034.74,8.0,39.36877624,1676,47180.85106,46894.23351,1840.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3554.2,8.0,30.19526194,2336,47180.85106,46894.23351,2481.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,11.98792977,2897,47180.85106,46894.23351,3080.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3455.776,8.0,12.87051013,3011,47180.85106,46894.23351,3011.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2734.0,8.0,17.84930505,2055,47180.85106,46894.23351,2246.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2159.86,8.0,11.98503607,1901,47180.85106,46894.23351,1901.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3466.712,8.0,13.26074967,3007,47180.85106,46894.23351,3007.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3455.776,8.0,12.34964303,3029,47180.85106,46894.23351,3029.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3455.776,8.0,13.70968489,2982,47180.85106,46894.23351,2982.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3455.776,8.0,12.06027243,3039,47180.85106,46894.23351,3039.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3455.776,8.0,12.92838425,3009,47180.85106,46894.23351,3009.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,11.33069678,3103,47180.85106,46894.23351,3103.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2734.0,8.0,12.54572056,2391,47180.85106,46894.23351,2391.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,12.92312296,2095,47180.85106,46894.23351,2095.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,1492.764,8.0,12.91322674,1300,47180.85106,46894.23351,1300.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2734.0,8.0,12.61887345,2389,47180.85106,46894.23351,2389.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3444.84,8.0,13.14545813,2992,47180.85106,46894.23351,2992.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,13.87390271,3014,47180.85106,46894.23351,3014.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2296.56,8.0,10.51834047,2055,47180.85106,46894.23351,2055.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3477.648,8.0,12.81463794,3032,47180.85106,46894.23351,3032.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2220.008,8.0,12.52283776,1942,47180.85106,46894.23351,1942.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2296.56,8.0,17.79008604,1888,47180.85106,46894.23351,1888.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,12.61658742,3058,47180.85106,46894.23351,3058.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,1749.76,8.0,9.64475128,1581,47180.85106,46894.23351,1581.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3302.672,8.0,12.9795511,2874,47180.85106,46894.23351,2874.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,1312.32,8.0,18.46500853,1070,47180.85106,46894.23351,1070.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3291.736,8.0,12.81196305,2870,47180.85106,46894.23351,2870.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,1749.76,8.0,15.81702634,1473,47180.85106,46894.23351,1473.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2187.2,8.0,17.93160205,1795,47180.85106,46894.23351,1795.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2241.88,8.0,13.95614395,1929,47180.85106,46894.23351,1929.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3477.648,8.0,12.41206701,3046,47180.85106,46894.23351,3046.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,31.00352464,1660,47180.85106,46894.23351,1660.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,0.0,8.0,na,464,47180.85106,46894.23351,464.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3483.116,8.0,14.55926245,2976,47180.85106,46894.23351,2976.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3007.4,8.0,14.0786061,2584,47180.85106,46894.23351,2584.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,1749.76,8.0,12.67373811,1528,47180.85106,46894.23351,1528.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,11.88401942,2120,47180.85106,46894.23351,2120.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,12.3022586,3069,47180.85106,46894.23351,3069.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,12.88155882,2096,47180.85106,46894.23351,2096.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,12.71530225,2100,47180.85106,46894.23351,2100.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2930.848,8.0,12.14146895,2575,47180.85106,46894.23351,2575.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,1716.952,8.0,11.35453991,1522,47180.85106,46894.23351,1522.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3062.08,8.0,14.17598495,2628,47180.85106,46894.23351,2628.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3488.584,8.0,19.85286867,2796,47180.85106,46894.23351,2796.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,14.08691893,2067,47180.85106,46894.23351,2067.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,11.73075165,3089,47180.85106,46894.23351,3089.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2952.72,8.0,32.70611504,1987,47180.85106,46894.23351,1987.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,0.0,8.0,na,609,47180.85106,46894.23351,609.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2187.2,8.0,12.582297,1912,47180.85106,46894.23351,1912.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2187.2,8.0,13.58814923,1890,47180.85106,46894.23351,1890.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3007.4,8.0,12.98131276,2617,47180.85106,46894.23351,2617.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2952.72,8.0,11.77626053,2605,47180.85106,46894.23351,2605.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,17.49517856,1985,47180.85106,46894.23351,1985.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2996.464,8.0,13.26443435,2599,47180.85106,46894.23351,2599.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,1531.04,8.0,25.99801442,978,47180.85106,46894.23351,1133.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2296.56,8.0,12.73905319,2004,47180.85106,46894.23351,2004.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2296.56,8.0,26.67293691,1496,47180.85106,46894.23351,1684.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2734.0,8.0,11.41185077,2422,47180.85106,46894.23351,2422.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3494.052,8.0,13.13809869,3035,47180.85106,46894.23351,3035.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,11.67360095,3091,47180.85106,46894.23351,3091.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,241477.816,8.0,14.48448416,TOTAL,47180.85106,46894.23351,206501.0,3140,217567,40,40,120,90
13129-1(A),June,40x40/120x90,44350,12.0,1027.984,14.2,11.1853881,913,50397.72727,53711.238,913.0,0,0,40,40,120,90
13129-1(A),June,40x40/120x90,44350,12.0,1027.984,14.2,na,,50397.72727,53711.238,,0,0,40,40,120,90
13129-1(A),June,40x40/120x90,44350,12.0,1027.984,14.2,11.1853881,TOTAL,50397.72727,53711.238,913.0,78,938,40,40,120,90
13130-1(A),June,40x40/120x70,200,19.0,267.932,20.0,27.22033949,195,246.9135802,282.2256541,195.0,0,0,40,40,120,70
13130-1(A),June,40x40/120x70,200,19.0,267.932,20.0,na,,246.9135802,282.2256541,,0,0,40,40,120,70
13130-1(A),June,40x40/120x70,200,19.0,267.932,20.0,27.22033949,TOTAL,246.9135802,282.2256541,195.0,0,222,40,40,120,70
13132-2,June,40x40/110x70,6699,7.0,2296.56,10.0,15.13393946,1949,7203.225806,7318.566413,1949.0,0,0,40,40,110,70
13132-2(A),June,40x40/110x70,520,12.0,656.16,14.2,16.78858815,546,590.9090909,629.759724,546.0,0,0,40,40,110,70
13132-2(A),June,40x40/110x70,520,12.0,2405.92,14.2,13.62971337,2078,590.9090909,629.759724,2078.0,0,0,40,40,110,70
13132-2(A),June,40x40/110x70,520,12.0,2296.56,14.2,15.22102623,1947,590.9090909,629.759724,1947.0,0,0,40,40,110,70
13132-2(A),June,40x40/110x70,520,12.0,1071.728,14.2,16.21008316,898,590.9090909,629.759724,898.0,0,0,40,40,110,70
13132-2(A),June,40x40/110x70,520,12.0,8726.928,14.2,14.99872578,TOTAL,590.9090909,629.759724,7418.0,35,7808,40,40,110,70
13132-3(A),June,40x40/110x70,850,10.0,1060.792,13.0,16.66603821,884,944.4444444,992.6557489,884.0,0,0,40,40,110,70
13132-3(A),June,40x40/110x70,850,10.0,1060.792,13.0,na,,944.4444444,992.6557489,,0,0,40,40,110,70
13132-3(A),June,40x40/110x70,850,10.0,1060.792,13.0,16.66603821,TOTAL,944.4444444,992.6557489,884.0,11,938,40,40,110,70
13132-4,June,40x40/110x70,5300,7.0,2559.024,10.0,16.56975472,2135,5698.924731,5790.177935,2135.0,0,0,40,40,110,70
