ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13103-4,May,50x50/130x90,2300,8.0,2887.104,13.4,na,,2500.0,2639.754963,,0,0,50,50,130,90
13103-4,May,50x50/130x90,2300,8.0,2887.104,13.4,70.00454435,TOTAL,2500.0,2639.754963,866.0,11,316,50,50,130,90
13103-5,May,50x50/130x90,1950,9.0,2482.472,13.7,76.03195524,475,2142.857143,2270.512628,595.0,0,0,50,50,130,90
13103-5,May,50x50/130x90,1950,9.0,2482.472,13.7,na,,2142.857143,2270.512628,,0,0,50,50,130,90
13103-5,May,50x50/130x90,1950,9.0,2482.472,13.7,76.03195524,TOTAL,2142.857143,2270.512628,595.0,0,210,50,50,130,90
13103-6,May,50x50/130x90,2300,8.0,2898.04,13.4,40.33898773,1584,2500.0,2639.754963,1729.0,0,0,50,50,130,90
13103-6,May,50x50/130x90,2300,8.0,2898.04,13.4,na,,2500.0,2639.754963,,0,0,50,50,130,90
13103-6,May,50x50/130x90,2300,8.0,2898.04,13.4,40.33898773,TOTAL,2500.0,2639.754963,1729.0,13,1156,50,50,130,90
13103-7,May,40x40/110x80,2500,7.1,3073.016,12.8,23.59297836,2147,2691.065662,2821.949959,2348.0,0,0,40,40,110,80
13103-7,May,40x40/110x80,2500,7.1,3073.016,12.8,na,,2691.065662,2821.949959,,0,0,40,40,110,80
13103-7,May,40x40/110x80,2500,7.1,3073.016,12.8,23.59297836,TOTAL,2691.065662,2821.949959,2348.0,8,1844,40,40,110,80
13103-8,May,40x40/110x80,1900,8.0,2378.58,13.4,69.68779692,530,2065.217391,2180.667143,721.0,0,0,40,40,110,80
13103-8,May,40x40/110x80,1900,8.0,2378.58,13.4,na,,2065.217391,2180.667143,,0,0,40,40,110,80
13103-8,May,40x40/110x80,1900,8.0,2378.58,13.4,69.68779692,TOTAL,2065.217391,2180.667143,721.0,0,550,40,40,110,80
13103-9,May,40x30/2/100x48,1100,10.0,1279.512,9.2,94.29469985,0,1222.222222,1230.851972,73.0,0,0,40,30,100,48
13103-9,May,40x30/2/100x48,1100,10.0,1279.512,9.2,na,,1222.222222,1230.851972,,0,0,40,30,100,48
13103-9,May,40x30/2/100x48,1100,10.0,1279.512,9.2,94.29469985,TOTAL,1222.222222,1230.851972,73.0,0,0,40,30,100,48
13103-10,May,40x40/130x90,1350,10.0,1640.4,11.0,15.08168739,1393,1500.0,1541.142336,1393.0,0,0,40,40,130,90
13103-10,May,40x40/130x90,1350,10.0,1640.4,11.0,na,,1500.0,1541.142336,,0,0,40,40,130,90
13103-10,May,40x40/130x90,1350,10.0,1640.4,11.0,15.08168739,TOTAL,1500.0,1541.142336,1393.0,9,1473,40,40,130,90
13104-1,May,40x20/2/110x44,1750,8.0,2154.392,11.2,23.92285155,1386,1902.173913,1958.748848,1639.0,0,0,40,20,110,44
13104-1,May,40x20/2/110x44,1750,8.0,2154.392,11.2,na,,1902.173913,1958.748848,,0,0,40,20,110,44
13104-1,May,40x20/2/110x44,1750,8.0,2154.392,11.2,23.92285155,TOTAL,1902.173913,1958.748848,1639.0,2,1110,40,20,110,44
13108-1,May,50x50/140x80,5600,8.0,3226.12,12.1,14.78928248,2749,6086.956522,6332.173749,2749.0,0,0,50,50,140,80
13108-1,May,50x50/140x80,5600,8.0,656.16,12.1,54.12704218,134,6086.956522,6332.173749,301.0,0,0,50,50,140,80
13108-1,May,50x50/140x80,5600,8.0,3171.44,12.1,22.43271195,2281,6086.956522,6332.173749,2460.0,0,0,50,50,140,80
13108-1,May,50x50/140x80,5600,8.0,7053.72,12.1,21.88518966,TOTAL,6086.956522,6332.173749,5510.0,24,4688,50,50,140,80
13108-2,May,40x40/130x80,4700,8.0,1946.608,14.0,18.67905608,1495,5108.695652,5431.916406,1583.0,0,0,40,40,130,80
13108-2,May,40x40/130x80,4700,8.0,546.8,14.0,18.25164594,447,5108.695652,5431.916406,447.0,0,0,40,40,130,80
13108-2,May,40x40/130x80,4700,8.0,726.1504,14.0,18.33647685,593,5108.695652,5431.916406,593.0,0,0,40,40,130,80
13108-2,May,40x40/130x80,4700,8.0,2734.0,14.0,36.90563277,1556,5108.695652,5431.916406,1725.0,0,0,40,40,130,80
13108-2,May,40x40/130x80,4700,8.0,5953.5584,14.0,26.96804654,TOTAL,5108.695652,5431.916406,4348.0,68,3798,40,40,130,80
