ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
SF-11037,February,50x50/120x90,1400,6.5,180.444,14.0,29.61805325,TOTAL,1497.326203,1592.06015,127.0,0,0,50,50,120,90
13003-2(A),February,40x40/120x80,1200,10.4,743.648,13.2,17.56852705,613,1339.285714,1410.896024,613.0,0,0,40,40,120,80
13003-2(A),February,40x40/120x80,1200,10.4,743.648,13.2,74.31580533,46,1339.285714,1410.896024,191.0,0,0,40,40,120,80
13003-2(A),February,40x40/120x80,1200,10.4,1487.296,13.2,45.94216619,TOTAL,1339.285714,1410.896024,804.0,11,713,40,40,120,80
13006-1,February,30x30/110x70,23700,7.0,2734.0,13.5,18.36137527,2232,25483.87097,26939.578,2232.0,0,0,30,30,110,70
13023-1,February,30x30/110x70,10700,7.0,2690.256,13.6,19.67307201,2161,11505.37634,12176.67137,2161.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,973.304,13.6,20.16882701,777,859.1065292,909.232133,777.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2624.64,13.6,16.40758352,2194,859.1065292,909.232133,2194.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2734.0,13.6,17.52011704,2255,859.1065292,909.232133,2255.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2734.0,13.6,17.84930505,2246,859.1065292,909.232133,2246.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2734.0,13.6,18.25164594,2235,859.1065292,909.232133,2235.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2676.0392,13.6,15.80840819,2253,859.1065292,909.232133,2253.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2744.936,13.6,17.37512277,2268,859.1065292,909.232133,2268.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2690.256,13.6,18.29773821,2198,859.1065292,909.232133,2198.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2739.468,13.6,19.21789194,2213,859.1065292,909.232133,2213.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2744.936,13.6,19.19665887,2218,859.1065292,909.232133,2218.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2750.404,13.6,17.97568648,2256,859.1065292,909.232133,2256.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2717.596,13.6,17.72139788,2236,859.1065292,909.232133,2236.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2405.92,13.6,18.40958968,1963,859.1065292,909.232133,1963.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2734.0,13.6,17.84930505,2246,859.1065292,909.232133,2246.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,2690.256,13.6,17.66582808,2215,859.1065292,909.232133,2215.0,0,0,30,30,110,70
13006-1(A),February,30x30/110x70,750,12.7,44118.0112,13.6,18.02440995,TOTAL,859.1065292,909.232133,36166.0,530,37526,30,30,110,70
13007-1,February,40+40/2x40/110x80,750,6.0,5295.2112,12.0,50.63464135,2474,797.8723404,829.0719771,2614.0,0,0,double,40,110,80
13007-1,February,40+40/2x40/110x80,750,6.0,5276.62,12.0,51.63570619,2367,797.8723404,829.0719771,2552.0,0,0,double,40,110,80
13007-1,February,40+40/2x40/110x80,750,6.0,5298.492,12.0,36.43474407,3207,797.8723404,829.0719771,3368.0,0,0,double,40,110,80
13007-1,February,40+40/2x40/110x80,750,6.0,5298.492,12.0,51.26915356,2370,797.8723404,829.0719771,2582.0,0,0,double,40,110,80
13007-1,February,40+40/2x40/110x80,750,6.0,21168.8152,12.0,47.48879474,TOTAL,797.8723404,829.0719771,11116.0,154,9334,double,40,110,80
13007-2,February,40+40/2x40/110x80,17250,6.0,5293.024,12.0,12.56415992,4628,18351.06383,19068.65547,4628.0,0,0,double,40,110,80
13007-2,February,40+40/2x40/110x80,17250,6.0,5303.96,12.0,13.87567025,4568,18351.06383,19068.65547,4568.0,0,0,double,40,110,80
13007-2,February,40+40/2x40/110x80,17250,6.0,5260.216,12.0,12.74122584,4590,18351.06383,19068.65547,4590.0,0,0,double,40,110,80
13007-2,February,40+40/2x40/110x80,17250,6.0,5282.088,12.0,15.77194473,4449,18351.06383,19068.65547,4449.0,0,0,double,40,110,80
13007-2,February,40+40/2x40/110x80,17250,6.0,21139.288,12.0,13.73881656,TOTAL,18351.06383,19068.65547,18235.0,350,18972,double,40,110,80
13010-1,February,40x40/110x90,78600,7.0,2788.68,14.5,15.98175481,2343,84516.12903,90388.87502,2343.0,0,0,40,40,110,90
13017-1,February,40x40/110x90,47900,7.0,2734.0,14.5,17.66642282,2251,51505.37634,55084.31442,2251.0,0,0,40,40,110,90
13021-1,February,40x40/110x90,43650,7.0,2843.36,14.2,16.89409712,2363,46935.48387,50021.3617,2363.0,0,0,40,40,110,90
13035-1+,February,40x40/110x90,6500,7.0,2734.0,14.5,17.4835406,2256,6989.247312,7474.906967,2256.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,17.84930505,2246,5752.688172,6486.217053,2246.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2821.488,18.9,15.04482741,2397,5752.688172,6486.217053,2397.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2843.36,18.9,30.75094255,1775,5752.688172,6486.217053,1969.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2712.128,18.9,15.82255705,2283,5752.688172,6486.217053,2283.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2679.32,18.9,35.43137811,1586,5752.688172,6486.217053,1730.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,1137.344,18.9,13.5705644,983,5752.688172,6486.217053,983.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,38.36869056,1556,5752.688172,6486.217053,1685.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2701.192,18.9,22.62675145,1939,5752.688172,6486.217053,2090.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2788.68,18.9,16.12519185,2339,5752.688172,6486.217053,2339.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2843.36,18.9,29.69585279,1816,5752.688172,6486.217053,1999.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2788.68,18.9,30.89920679,1749,5752.688172,6486.217053,1927.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,13.13094367,2375,5752.688172,6486.217053,2375.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,41.22165326,1428,5752.688172,6486.217053,1607.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,16.82516459,2274,5752.688172,6486.217053,2274.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2777.744,18.9,15.86697694,2337,5752.688172,6486.217053,2337.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2810.552,18.9,25.77970449,1894,5752.688172,6486.217053,2086.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2810.552,18.9,15.03448433,2388,5752.688172,6486.217053,2388.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,16.93489393,2271,5752.688172,6486.217053,2271.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,47.40307242,1269,5752.688172,6486.217053,1438.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,16.16678859,2292,5752.688172,6486.217053,2292.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2788.68,18.9,38.7882439,1525,5752.688172,6486.217053,1707.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,17.04462326,2268,5752.688172,6486.217053,2268.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2788.68,18.9,23.01016969,1941,5752.688172,6486.217053,2147.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,16.93489393,2271,5752.688172,6486.217053,2271.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2788.68,18.9,32.94318459,1668,5752.688172,6486.217053,1870.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2788.68,18.9,16.66308074,2324,5752.688172,6486.217053,2324.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2821.488,18.9,19.43967155,2273,5752.688172,6486.217053,2273.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2843.36,18.9,16.96443644,2361,5752.688172,6486.217053,2361.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,16.86174104,2273,5752.688172,6486.217053,2273.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2734.0,18.9,15.80102414,2302,5752.688172,6486.217053,2302.0,0,0,40,40,110,90
13035-2,February,40x40/110x90,5350,7.0,2843.36,18.9,15.7334984,2396,5752.688172,6486.217053,2396.0,0,0,40,40,110,90
