ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13239-4,September,40x40/130x90,3700,8.0,2384.048,15.5,14.55708945,2037,4021.73913,4352.098201,2037.0,0,0,40,40,130,90
13239-4,September,40x40/130x90,3700,8.0,4789.968,15.5,16.88879759,TOTAL,4021.73913,4352.098201,3981.0,42,3985,40,40,130,90
13240-1,September,40x40/133x72,13000,5.0,3811.196,11.0,12.54713743,3333,13684.21053,14059.54412,3333.0,0,0,40,40,133,72
13240-2,September,40x40/133x72,2000,6.2,2438.728,12.2,28.48730978,1549,2132.196162,2220.619452,1744.0,0,0,40,40,133,72
13240-2,September,40x40/133x72,2000,6.2,2575.428,12.2,13.56776427,2226,2132.196162,2220.619452,2226.0,0,0,40,40,133,72
13240-2,September,40x40/133x72,2000,6.2,2187.2,12.2,13.08522312,1901,2132.196162,2220.619452,1901.0,0,0,40,40,133,72
13240-2,September,40x40/133x72,2000,6.2,3805.728,12.2,13.76157203,3282,2132.196162,2220.619452,3282.0,0,0,40,40,133,72
13240-2,September,40x40/133x72,2000,6.2,1891.928,12.2,14.84876803,1611,2132.196162,2220.619452,1611.0,0,0,40,40,133,72
13240-2,September,40x40/133x72,2000,6.2,1246.704,12.2,14.09348169,1071,2132.196162,2220.619452,1071.0,0,0,40,40,133,72
13240-2,September,40x40/133x72,2000,6.2,17956.912,12.2,15.53113364,TOTAL,2132.196162,2220.619452,15168.0,94,15461,40,40,133,72
13241-2,September,40x40/120x80,9317,7.0,2296.56,12.5,17.18047863,1902,10018.27957,10469.5157,1902.0,0,0,40,40,120,80
13241-2,September,40x40/120x80,9317,7.0,2187.2,12.5,15.91989759,1839,10018.27957,10469.5157,1839.0,0,0,40,40,120,80
13241-2,September,40x40/120x80,9317,7.0,2077.84,12.5,15.10414661,1764,10018.27957,10469.5157,1764.0,0,0,40,40,120,80
13241-2,September,40x40/120x80,9317,7.0,2865.232,12.5,16.44655651,2394,10018.27957,10469.5157,2394.0,0,0,40,40,120,80
13241-2,September,40x40/120x80,9317,7.0,2187.2,12.5,18.89173372,1774,10018.27957,10469.5157,1774.0,0,0,40,40,120,80
13241-2,September,40x40/120x80,9317,7.0,11614.032,12.5,16.71281774,TOTAL,10018.27957,10469.5157,9673.0,11,10026,40,40,120,80
