ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,85.99288422,149,79144.38503,79528.02823,337.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,3247.992,9.0,47.56760485,1665,79144.38503,79528.02823,1703.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,37.77847975,1314,79144.38503,79528.02823,1497.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2296.56,9.0,13.60992093,1923,79144.38503,79528.02823,1984.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2471.536,9.0,73.86240783,461,79144.38503,79528.02823,646.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,17.82769169,1795,79144.38503,79528.02823,1977.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2449.664,9.0,61.13752743,827,79144.38503,79528.02823,952.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2449.664,9.0,37.09341363,1387,79144.38503,79528.02823,1541.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2460.6,9.0,98.74014468,0,79144.38503,79528.02823,31.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,16.20669016,1895,79144.38503,79528.02823,2016.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,34.45334841,1409,79144.38503,79528.02823,1577.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2449.664,9.0,35.66464625,1428,79144.38503,79528.02823,1576.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2460.6,9.0,46.31390718,1140,79144.38503,79528.02823,1321.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,50.41397885,1015,79144.38503,79528.02823,1193.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,45.71723083,1128,79144.38503,79528.02823,1306.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2449.664,9.0,65.09725415,688,79144.38503,79528.02823,855.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,39.77355856,1263,79144.38503,79528.02823,1449.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2449.664,9.0,41.25724997,1275,79144.38503,79528.02823,1439.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2438.728,9.0,73.3467611,492,79144.38503,79528.02823,650.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,3171.44,9.0,44.50470449,1575,79144.38503,79528.02823,1760.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2460.6,9.0,83.86572381,214,79144.38503,79528.02823,397.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2471.536,9.0,87.65949596,140,79144.38503,79528.02823,305.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,80.75580235,308,79144.38503,79528.02823,463.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,77.68005586,412,79144.38503,79528.02823,537.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,1410.744,9.0,93.47861837,0,79144.38503,79528.02823,92.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,78.38664627,345,79144.38503,79528.02823,520.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2471.536,9.0,75.11668857,442,79144.38503,79528.02823,615.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2460.6,9.0,68.13785256,629,79144.38503,79528.02823,784.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,85.5772428,190,79144.38503,79528.02823,347.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2460.6,9.0,90.28692189,115,79144.38503,79528.02823,239.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,65.00299262,675,79144.38503,79528.02823,842.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2460.6,9.0,68.86938145,612,79144.38503,79528.02823,766.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,2405.92,9.0,67.3721487,629,79144.38503,79528.02823,785.0,0,0,40,40,120,90
13237-2,August,40x40/120x90,74000,6.5,83080.792,9.0,58.51748741,TOTAL,79144.38503,79528.02823,34464.0,269,27010,40,40,120,90
13238-1,August,40x40/100x70,10171,7.0,2761.34,10.0,62.22848327,820,10936.55914,11111.6792,1043.0,0,0,40,40,100,70
13238-2,August,40x40/100x70,3229,7.2,1968.48,10.2,14.50256035,1480,3479.525862,3543.114853,1683.0,0,0,40,40,100,70
13238-2,August,40x40/100x70,3229,7.2,1924.736,10.2,16.66389572,1429,3479.525862,3543.114853,1604.0,0,0,40,40,100,70
13238-2,August,40x40/100x70,3229,7.2,2952.72,10.2,61.83180254,888,3479.525862,3543.114853,1127.0,0,0,40,40,100,70
13238-2,August,40x40/100x70,3229,7.2,2952.72,10.2,61.32379636,905,3479.525862,3543.114853,1142.0,0,0,40,40,100,70
13238-2,August,40x40/100x70,3229,7.2,12559.996,10.2,47.46017435,TOTAL,3479.525862,3543.114853,6599.0,80,4237,40,40,100,70
13239-1,August,40x40/130x90,3350,8.3,2165.328,15.6,34.19010884,1261,3653.217012,3957.988456,1425.0,0,0,40,40,130,90
13239-1,August,40x40/130x90,3350,8.3,2187.2,15.6,42.39209949,1112,3653.217012,3957.988456,1260.0,0,0,40,40,130,90
13239-1,August,40x40/130x90,3350,8.3,4352.528,15.6,38.31171218,TOTAL,3653.217012,3957.988456,2685.0,57,2068,40,40,130,90
13239-2,August,40x40/130x90,2350,8.3,1531.04,16.0,71.06541958,281,2562.704471,2789.72079,443.0,0,0,40,40,130,90
13239-2,August,40x40/130x90,2350,8.3,1531.04,16.0,84.58564113,72,2562.704471,2789.72079,236.0,0,0,40,40,130,90
13239-2,August,40x40/130x90,2350,8.3,3062.08,16.0,77.82553036,TOTAL,2562.704471,2789.72079,679.0,19,113,40,40,130,90
13239-3,August,40x40/130x90,2200,8.4,2876.168,16.2,89.49991795,136,2401.746725,2620.744524,302.0,0,0,40,40,130,90
13239-3,August,40x40/130x90,2200,8.4,2876.168,16.2,na,,2401.746725,2620.744524,,0,0,40,40,130,90
13239-3,August,40x40/130x90,2200,8.4,2876.168,16.2,89.49991795,TOTAL,2401.746725,2620.744524,302.0,0,62,40,40,130,90
13239-4,August,40x40/130x90,3700,8.0,2405.92,15.5,68.45281639,623,4021.73913,4352.098201,759.0,0,0,40,40,130,90
13239-4,August,40x40/130x90,3700,8.0,2384.048,15.5,65.5627739,659,4021.73913,4352.098201,821.0,0,0,40,40,130,90
13239-4,August,40x40/130x90,3700,8.0,4789.968,15.5,67.01439342,TOTAL,4021.73913,4352.098201,1580.0,28,547,40,40,130,90
13240-1,August,40x40/133x72,13000,5.0,2187.2,11.0,58.53145574,697,13684.21053,14059.54412,907.0,0,0,40,40,133,72
13240-1,August,40x40/133x72,13000,5.0,3811.196,11.0,80.34737652,552,13684.21053,14059.54412,749.0,0,0,40,40,133,72
13240-1,August,40x40/133x72,13000,5.0,2575.428,11.0,80.08098071,355,13684.21053,14059.54412,513.0,0,0,40,40,133,72
13240-1,August,40x40/133x72,13000,5.0,3805.728,11.0,76.61419839,689,13684.21053,14059.54412,890.0,0,0,40,40,133,72
13240-1,August,40x40/133x72,13000,5.0,1891.928,11.0,76.21473967,275,13684.21053,14059.54412,450.0,0,0,40,40,133,72
13240-1,August,40x40/133x72,13000,5.0,14271.48,11.0,75.41250102,TOTAL,13684.21053,14059.54412,3509.0,18,1829,40,40,133,72
13247-1,August,40x40/120x80,19000,7.0,2734.0,12.5,92.90416971,21,20430.10753,21350.3057,194.0,0,0,40,40,120,80
13247-1,August,40x40/120x80,19000,7.0,2734.0,12.5,99.41477688,0,20430.10753,21350.3057,16.0,0,0,40,40,120,80
13247-1,August,40x40/120x80,19000,7.0,2799.616,12.5,96.82099259,0,20430.10753,21350.3057,89.0,0,0,40,40,120,80
13247-1,August,40x40/120x80,19000,7.0,8267.616,12.5,96.38347983,TOTAL,20430.10753,21350.3057,299.0,0,0,40,40,120,80
13250-2,August,40x40/110x70,5733,7.0,1968.48,10.0,67.69080712,426,6164.516129,6263.224548,636.0,0,0,40,40,110,70
13250-2,August,40x40/110x70,5733,7.0,1968.48,10.0,73.6344794,335,6164.516129,6263.224548,519.0,0,0,40,40,110,70
13250-2,August,40x40/110x70,5733,7.0,1935.672,10.0,69.82959923,366,6164.516129,6263.224548,584.0,0,0,40,40,110,70
13250-2,August,40x40/110x70,5733,7.0,5872.632,10.0,70.3880645,TOTAL,6164.516129,6263.224548,1739.0,17,17,40,40,110,70
13255-1,August,40x40/110x90,25625,6.5,2734.0,14.0,97.47622531,0,27406.41711,29140.38668,69.0,0,0,40,40,110,90
13255-1,August,40x40/110x90,25625,6.5,2734.0,14.0,na,,27406.41711,29140.38668,,0,0,40,40,110,90
13255-1,August,40x40/110x90,25625,6.5,2734.0,14.0,97.47622531,TOTAL,27406.41711,29140.38668,69.0,0,0,40,40,110,90
SF-13174,August,40x+40/240/110x80,25625,6.5,120.296,14.0,25.18454479,90,27406.41711,29140.38668,90.0,0,0,double,40,110,80
SF-13174,August,40x+40/240/110x80,25625,6.5,120.296,14.0,na,,27406.41711,29140.38668,,0,0,double,40,110,80
SF-13174,August,40x+40/240/110x80,25625,6.5,120.296,14.0,25.18454479,TOTAL,27406.41711,29140.38668,90.0,0,94,double,40,110,80
SF-13175,August,40+40/240x/110x80,25625,6.5,125.764,14.0,31.61795108,86,27406.41711,29140.38668,86.0,0,0,double,110,110,80
SF-13175,August,40+40/240x/110x80,25625,6.5,125.764,14.0,na,,27406.41711,29140.38668,,0,0,double,110,110,80
SF-13175,August,40+40/240x/110x80,25625,6.5,125.764,14.0,31.61795108,TOTAL,27406.41711,29140.38668,86.0,3,88,double,110,110,80
SF-13163,August,40x40/120x80,25625,6.5,98.424,14.0,34.9752093,64,27406.41711,29140.38668,64.0,0,0,40,40,120,80
SF-13163,August,40x40/120x80,25625,6.5,98.424,14.0,na,,27406.41711,29140.38668,,0,0,40,40,120,80
SF-13163,August,40x40/120x80,25625,6.5,98.424,14.0,34.9752093,TOTAL,27406.41711,29140.38668,64.0,0,0,40,40,120,80
SF-13186,August,40x40/110x90,25625,6.5,114.828,14.0,29.45971366,81,27406.41711,29140.38668,81.0,0,0,40,40,110,90
SF-13186,August,40x40/110x90,25625,6.5,114.828,14.0,na,,27406.41711,29140.38668,,0,0,40,40,110,90
SF-13186,August,40x40/110x90,25625,6.5,114.828,14.0,29.45971366,TOTAL,27406.41711,29140.38668,81.0,0,84,40,40,110,90
SF-13187,August,40x40/110x90,25625,6.5,114.828,14.0,32.94318459,77,27406.41711,29140.38668,77.0,0,0,40,40,110,90
SF-13187,August,40x40/110x90,25625,6.5,114.828,14.0,na,,27406.41711,29140.38668,,0,0,40,40,110,90
SF-13187,August,40x40/110x90,25625,6.5,114.828,14.0,32.94318459,TOTAL,27406.41711,29140.38668,77.0,0,78,40,40,110,90
SF-13213,August,50x50/110x80,25625,6.5,120.296,14.0,32.66609031,81,27406.41711,29140.38668,81.0,0,0,50,50,110,80
SF-13213,August,50x50/110x80,25625,6.5,120.296,14.0,na,,27406.41711,29140.38668,,0,0,50,50,110,80
SF-13213,August,50x50/110x80,25625,6.5,120.296,14.0,32.66609031,TOTAL,27406.41711,29140.38668,81.0,0,100,50,50,110,80
SF-13221,August,40x40/110x90,25625,6.5,125.764,14.0,28.43739067,90,27406.41711,29140.38668,90.0,0,0,40,40,110,90
SF-13221,August,40x40/110x90,25625,6.5,125.764,14.0,na,,27406.41711,29140.38668,,0,0,40,40,110,90
SF-13221,August,40x40/110x90,25625,6.5,125.764,14.0,28.43739067,TOTAL,27406.41711,29140.38668,90.0,0,80,40,40,110,90
SF-13222,August,40x40/110x90,25625,6.5,125.764,14.0,31.61795108,86,27406.41711,29140.38668,86.0,0,0,40,40,110,90
SF-13222,August,40x40/110x90,25625,6.5,125.764,14.0,na,,27406.41711,29140.38668,,0,0,40,40,110,90
SF-13222,August,40x40/110x90,25625,6.5,125.764,14.0,31.61795108,TOTAL,27406.41711,29140.38668,86.0,0,88,40,40,110,90
SF-13223,August,40x40/110x90,25625,6.5,120.296,14.0,29.34095897,85,27406.41711,29140.38668,85.0,0,0,40,40,110,90
SF-13223,August,40x40/110x90,25625,6.5,120.296,14.0,na,,27406.41711,29140.38668,,0,0,40,40,110,90
SF-13223,August,40x40/110x90,25625,6.5,120.296,14.0,29.34095897,TOTAL,27406.41711,29140.38668,85.0,0,86,40,40,110,90
SF-13224,August,40x40/120x100,25625,6.5,153.104,14.0,22.92820566,118,27406.41711,29140.38668,118.0,0,0,40,40,120,100
SF-13224,August,40x40/120x100,25625,6.5,153.104,14.0,na,,27406.41711,29140.38668,,0,0,40,40,120,100
SF-13224,August,40x40/120x100,25625,6.5,153.104,14.0,22.92820566,TOTAL,27406.41711,29140.38668,118.0,0,123,40,40,120,100
SF-13227,August,40x40/120x90,25625,6.5,114.828,14.0,28.58884593,82,27406.41711,29140.38668,82.0,0,0,40,40,120,90
SF-13227,August,40x40/120x90,25625,6.5,114.828,14.0,na,,27406.41711,29140.38668,,0,0,40,40,120,90
SF-13227,August,40x40/120x90,25625,6.5,114.828,14.0,28.58884593,TOTAL,27406.41711,29140.38668,82.0,0,83,40,40,120,90
SF-13228,August,40x40/110x90,25625,6.5,109.36,14.0,34.16239941,72,27406.41711,29140.38668,72.0,0,0,40,40,110,90
