ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13049-3,March,40x40/92x70,2100,7.1,2187.2,10.1,12.62801756,1911,2260.495156,2299.245724,1911.0,0,0,40,40,92,70
13049-3,March,40x40/92x70,2100,7.1,2061.436,10.1,16.46599749,1722,2260.495156,2299.245724,1722.0,0,0,40,40,92,70
13049-3,March,40x40/92x70,2100,7.1,4248.636,10.1,14.49020344,TOTAL,2260.495156,2299.245724,3633.0,19,3851,40,40,92,70
13050-2,March,40x40/110x90,19910,6.5,3275.332,14.0,17.13817103,2714,21294.11765,22641.36971,2714.0,0,0,40,40,110,90
13050-2,March,40x40/110x90,19910,6.5,3280.8,14.0,47.8785662,1548,21294.11765,22641.36971,1710.0,0,0,40,40,110,90
13050-2,March,40x40/110x90,19910,6.5,3171.44,14.0,32.11285725,1984,21294.11765,22641.36971,2153.0,0,0,40,40,110,90
13050-2,March,40x40/110x90,19910,6.5,2564.492,14.0,16.63066214,2138,21294.11765,22641.36971,2138.0,0,0,40,40,110,90
13050-2,March,40x40/110x90,19910,6.5,1891.928,14.0,11.25455091,1679,21294.11765,22641.36971,1679.0,0,0,40,40,110,90
13050-2,March,40x40/110x90,19910,6.5,3171.44,14.0,17.48227934,2617,21294.11765,22641.36971,2617.0,0,0,40,40,110,90
13050-2,March,40x40/110x90,19910,6.5,2515.28,14.0,15.83442002,2117,21294.11765,22641.36971,2117.0,0,0,40,40,110,90
13050-2,March,40x40/110x90,19910,6.5,19870.712,14.0,23.86785134,TOTAL,21294.11765,22641.36971,15128.0,76,13993,40,40,110,90
13051-1,March,40x40/120x90,4100,7.1,3319.076,9.1,87.73755105,407,4413.347686,4439.619579,407.0,0,0,40,40,120,90
13051-1,March,40x40/120x90,4100,7.1,1093.6,9.1,12.94806145,952,4413.347686,4439.619579,952.0,0,0,40,40,120,90
13051-1,March,40x40/120x90,4100,7.1,0.0,9.1,na,2576,4413.347686,4439.619579,2576.0,0,0,40,40,120,90
13051-1,March,40x40/120x90,4100,7.1,4412.676,9.1,10.82508664,TOTAL,4413.347686,4439.619579,3935.0,137,4078,40,40,120,90
13052-1,March,40x40/110x90,19350,6.5,3827.6,14.0,18.4606542,3121,20695.18717,22004.54565,3121.0,0,0,40,40,110,90
13052-1,March,40x40/110x90,19350,6.5,3854.94,14.0,18.96112521,2952,20695.18717,22004.54565,3124.0,0,0,40,40,110,90
13052-1,March,40x40/110x90,19350,6.5,3882.28,14.0,18.3211927,2996,20695.18717,22004.54565,3171.0,0,0,40,40,110,90
13052-1,March,40x40/110x90,19350,6.5,3936.96,14.0,16.99179062,3268,20695.18717,22004.54565,3268.0,0,0,40,40,110,90
13052-1,March,40x40/110x90,19350,6.5,1066.26,14.0,36.60082907,487,20695.18717,22004.54565,676.0,0,0,40,40,110,90
13052-1,March,40x40/110x90,19350,6.5,3936.96,14.0,16.89018938,3207,20695.18717,22004.54565,3272.0,0,0,40,40,110,90
13052-1,March,40x40/110x90,19350,6.5,3838.536,14.0,17.93746366,3046,20695.18717,22004.54565,3150.0,0,0,40,40,110,90
13052-1,March,40x40/110x90,19350,6.5,24343.536,14.0,18.73818167,TOTAL,20695.18717,22004.54565,19782.0,116,18105,40,40,110,90
13052-2,March,40x40/100x70,1700,9.6,2012.224,10.0,15.11879393,1708,1880.530973,1910.642702,1708.0,0,0,40,40,100,70
13052-2,March,40x40/100x70,1700,9.6,339.016,10.0,17.70299927,279,1880.530973,1910.642702,279.0,0,0,40,40,100,70
13052-2,March,40x40/100x70,1700,9.6,2351.24,10.0,15.49140028,TOTAL,1880.530973,1910.642702,1987.0,14,2160,40,40,100,70
13053-1,March,40x50/130x80,1400,11.5,1793.504,12.8,17.25694506,1484,1581.920904,1658.860166,1484.0,0,0,40,50,130,80
13053-1,March,40x50/130x80,1400,11.5,1793.504,12.8,na,,1581.920904,1658.860166,,0,0,40,50,130,80
13053-1,March,40x50/130x80,1400,11.5,1793.504,12.8,17.25694506,TOTAL,1581.920904,1658.860166,1484.0,0,1553,40,50,130,80
13055-1,March,40x40/120x90,9300,7.0,3701.836,9.0,56.02182268,1444,10000.0,10048.47384,1628.0,0,0,40,40,120,90
13055-1,March,40x40/120x90,9300,7.0,3696.368,9.0,71.620791,908,10000.0,10048.47384,1049.0,0,0,40,40,120,90
13055-1,March,40x40/120x90,9300,7.0,3707.304,9.0,89.91180653,206,10000.0,10048.47384,374.0,0,0,40,40,120,90
13055-1,March,40x40/120x90,9300,7.0,11105.508,9.0,72.52714599,TOTAL,10000.0,10048.47384,3051.0,0,1506,40,40,120,90
13056-2,March,80/2x40/140x88,2065,6.2,2367.644,8.9,13.07814857,2058,2201.492537,2209.735736,2058.0,0,0,double_80,40,140,88
13056-7,March,80/2x40/140x88,8885,6.0,3729.176,9.0,64.68388727,1148,9452.12766,9497.94575,1317.0,0,0,double_80,40,140,88
13056-7,March,80/2x40/140x88,8885,6.0,3723.708,9.0,82.35629647,493,9452.12766,9497.94575,657.0,0,0,double_80,40,140,88
13056-7,March,80/2x40/140x88,8885,6.0,9820.528,9.0,58.9431444,TOTAL,9452.12766,9497.94575,4032.0,7,3683,double_80,40,140,88
13056-3,March,50x50/140x70,3800,8.0,2734.0,10.1,27.32260424,1987,4130.434783,4201.240815,1987.0,0,0,50,50,140,70
13056-3,March,50x50/140x70,3800,8.0,0.0,10.1,na,281,4130.434783,4201.240815,281.0,0,0,50,50,140,70
13056-3,March,50x50/140x70,3800,8.0,513.992,10.1,18.67577705,418,4130.434783,4201.240815,418.0,0,0,50,50,140,70
13056-3,March,50x50/140x70,3800,8.0,1312.32,10.1,16.94099,1090,4130.434783,4201.240815,1090.0,0,0,50,50,140,70
13056-3,March,50x50/140x70,3800,8.0,4560.312,10.1,17.19864781,TOTAL,4130.434783,4201.240815,3776.0,85,3972,50,50,140,70
13056-4,March,50x50/140x70,1700,10.5,1995.82,10.0,53.90365865,724,1899.441341,1929.855869,920.0,0,0,50,50,140,70
13056-4,March,50x50/140x70,1700,10.5,1995.82,10.0,na,,1899.441341,1929.855869,,0,0,50,50,140,70
13056-4,March,50x50/140x70,1700,10.5,1995.82,10.0,53.90365865,TOTAL,1899.441341,1929.855869,920.0,0,302,50,50,140,70
13056-5,March,50x50/140x96,2065,8.3,2509.812,10.1,20.91041082,1850,2251.908397,2290.511766,1985.0,0,0,50,50,140,96
13056-5,March,50x50/140x96,2065,8.3,2509.812,10.1,na,,2251.908397,2290.511766,,0,0,50,50,140,96
